resource_type,resource_name,user_id,timestamp,metadata
tableau,Reporting,hieptn,2/10/2026 14:21,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,hieptn,2/10/2026 14:21,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,nghiant2,2/10/2026 14:21,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
tableau,Reporting,hongz,2/10/2026 14:09,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
realtime,Real-time Dashboard,hongz,2/10/2026 14:08,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,tuanqg,2/10/2026 14:01,"{""folder"": ""AA22: Lineage 2 Mobile"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
tableau,Reporting,ruixiangf,2/10/2026 13:57,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Operation,chuentt,2/10/2026 13:55,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,A49 - Crossfire Legends-VN,chuentt,2/10/2026 13:55,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Reporting,chuentt,2/10/2026 13:55,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,A49 - Crossfire Legends-VN,chuentt,2/10/2026 13:55,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
export,Export,chuentt,2/10/2026 13:55,"{""device_type"": ""laptop"", ""source_item"": ""export""}"
tableau,Reporting,willt,2/10/2026 13:51,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Operation,thond3,2/10/2026 13:39,"{""device_type"": ""mobile"", ""source_item"": ""all_dashboard""}"
search,Sam,thond3,2/10/2026 13:39,"{""device_type"": ""mobile"", ""source_item"": ""Home""}"
search,Gam,thond3,2/10/2026 13:39,"{""device_type"": ""mobile"", ""source_item"": ""Home""}"
home,Game Dashboard,thond3,2/10/2026 13:39,"{""device_type"": ""mobile"", ""source_item"": ""home""}"
tableau,Reporting,thond3,2/10/2026 13:39,"{""device_type"": ""mobile"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,thond3,2/10/2026 13:39,"{""device_type"": ""mobile"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,thond3,2/10/2026 13:38,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""mobile"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,thond3,2/10/2026 13:38,"{""device_type"": ""mobile"", ""source_item"": ""home""}"
tableau,[GS2] [Publishing Payment] User Analysis,thond3,2/10/2026 13:38,"{""folder"": ""Game Studio 2"", ""device_type"": ""mobile"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,thond3,2/10/2026 13:38,"{""device_type"": ""mobile"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,thond3,2/10/2026 13:37,"{""folder"": ""AA45 - Samkok Fantasy (SEA+VN)"", ""device_type"": ""mobile"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,thond3,2/10/2026 13:37,"{""device_type"": ""mobile"", ""source_item"": ""home""}"
tableau,Reporting,thond3,2/10/2026 13:37,"{""device_type"": ""mobile"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,thond3,2/10/2026 13:37,"{""device_type"": ""mobile"", ""source_item"": ""home""}"
home,Game Dashboard,thond3,2/10/2026 13:37,"{""device_type"": ""mobile"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,nghiant2,2/10/2026 13:34,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,nghiant2,2/10/2026 13:34,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Reporting,hieptn,2/10/2026 13:30,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Custom Dashboard,hieptn,2/10/2026 13:30,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
search,thie,hieptn,2/10/2026 13:30,"{""device_type"": ""laptop"", ""source_item"": ""setting""}"
search,thi,hieptn,2/10/2026 13:30,"{""device_type"": ""laptop"", ""source_item"": ""setting""}"
home,Game Dashboard,hieptn,2/10/2026 13:29,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Reporting,lelpt,2/10/2026 13:21,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,"C06,C07 - Ballistar_TWID",lelpt,2/10/2026 13:20,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,lelpt,2/10/2026 13:20,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,thond3,2/10/2026 13:19,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Reporting,ruixiangf,2/10/2026 13:18,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,"C06,C07 - Ballistar_TWID",ruixiangf,2/10/2026 13:18,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Operation,trinm3,2/10/2026 13:18,"{""folder"": ""A70 - Nghịch Thuỷ Hàn"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,A70 - Nghịch Thuỷ Hàn,trinm3,2/10/2026 13:18,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
search,nghich thuy,trinm3,2/10/2026 13:18,"{""device_type"": ""laptop"", ""source_item"": ""tableau""}"
export,Export,thaipm,2/10/2026 13:15,"{""device_type"": ""laptop"", ""source_item"": ""export""}"
tableau,Operation,trinm3,2/10/2026 13:15,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,A49 - Crossfire Legends-VN,trinm3,2/10/2026 13:15,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,trinm3,2/10/2026 13:14,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Reporting,yi-chic,2/10/2026 13:14,"{""folder"": ""902: CheonSangBi: 天上碑M"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
